category,name,link,price,updated_date
snacks,Wai Wai Quick Chicken Pizza Instant Noodles 70G x 30 Packets,https://www.cheers.com.np//grocery/product/wai-wai-quick-chicken-pizza-instant-noodles-70g-x-30-packets,Rs. 570,2024-02-28 01:16:30.734443
snacks,Wonderful Pistachios Chili Roasted 63G,https://www.cheers.com.np//grocery/product/wonderful-pistachios-chili-roasted-63g,Rs. 425,2024-02-28 01:16:30.734443
snacks,Wonderful Pistachios Honey Roasted 63G,https://www.cheers.com.np//grocery/product/wonderful-pistachios-honey-roasted-63g,Rs. 425,2024-02-28 01:16:30.735442
snacks,Wonderful Pistachios Salt & Pepper 127G,https://www.cheers.com.np//grocery/product/wonderful-pistachios-salt-pepper-127g,Rs. 425,2024-02-28 01:16:30.736444
japanese-liquor,Hakutsuru Dai Ginjo Sake 720ML,https://www.cheers.com.np//liquor/product/hakutsuru-dai-ginjo-sake-720ml,"Rs. 4,240",2024-02-28 01:16:32.159456
japanese-liquor,Hakutsuru Superior Junmai Ginjo Sake 720ML,https://www.cheers.com.np//liquor/product/hakutsuru-superior-junmai-ginjo-sake-720ml,"Rs. 3,755",2024-02-28 01:16:32.161007
japanese-liquor,Hakutsuru Maru Sake 2L,https://www.cheers.com.np//liquor/product/hakutsuru-maru-sake-2l,"Rs. 4,985",2024-02-28 01:16:32.162044
japanese-liquor,Choya Shiso Umeshu 750ML,https://www.cheers.com.np//liquor/product/choya-shiso-umeshu-750ml,"Rs. 4,800",2024-02-28 01:16:32.162549
japanese-liquor,Takara Yokaichi Mugi Shochu 720ML,https://www.cheers.com.np//liquor/product/takara-yokaichi-mugi-shochu-720ml,"Rs. 5,490",2024-02-28 01:16:32.163555
japanese-liquor,Hakodate Kerner Medium Sweet White 720ML,https://www.cheers.com.np//liquor/product/hakodate-kerner-medium-sweet-white-720ml,"Rs. 4,700",2024-02-28 01:16:32.164555
japanese-liquor,Suzuki Shuzo Kinpyo Gold Leaf Sake 720ML,https://www.cheers.com.np//liquor/product/suzuki-shuzo-kinpyo-gold-leaf-sake-720ml,"Rs. 12,995",2024-02-28 01:16:32.164555
japanese-liquor,Choya Classic Umeshu 375ML,https://www.cheers.com.np//liquor/product/choya-classic-umeshu-375ml,"Rs. 2,450",2024-02-28 01:16:32.165557
japanese-liquor,Choya Classic Umeshu 50ML,https://www.cheers.com.np//liquor/product/choya-classic-umeshu-50ml,Rs. 360,2024-02-28 01:16:32.166556
japanese-liquor,Choya Classic Umeshu 750ML,https://www.cheers.com.np//liquor/product/choya-classic-umeshu-750ml,"Rs. 4,600",2024-02-28 01:16:32.167557
japanese-liquor,Dewazakura Ginjo Sake 180ML,https://www.cheers.com.np//liquor/product/dewazakura-ginjo-sake-180ml,"Rs. 1,235",2024-02-28 01:16:32.168555
japanese-liquor,Hakodate Bacchus Medium Dry White 720ML,https://www.cheers.com.np//liquor/product/hakodate-bacchus-medium-dry-white-720ml,"Rs. 3,885",2024-02-28 01:16:32.169555
japanese-liquor,Hakodate Dornfelder Full Bodied Red 720ML,https://www.cheers.com.np//liquor/product/hakodate-dornfelder-full-bodied-red-720ml,"Rs. 3,345",2024-02-28 01:16:32.170555
japanese-liquor,Hakodate Fragrant Kerner Sparkling 720ML,https://www.cheers.com.np//liquor/product/hakodate-fragrant-kerner-sparkling-720ml,"Rs. 4,900",2024-02-28 01:16:32.171556
japanese-liquor,Hakodate Myura Dry White 720ML,https://www.cheers.com.np//liquor/product/hakodate-myura-dry-white-720ml,"Rs. 4,180",2024-02-28 01:16:32.172555
japanese-liquor,Hakodate Niagara Casual Sweet White 720ML,https://www.cheers.com.np//liquor/product/hakodate-niagara-casual-sweet-white-720ml,"Rs. 2,645",2024-02-28 01:16:32.173555
japanese-liquor,Hakutsuru Awa Yuki Sparkling Sake 300ML,https://www.cheers.com.np//liquor/product/hakutsuru-awa-yuki-sparkling-sake-300ml,"Rs. 1,180",2024-02-28 01:16:32.175020
japanese-liquor,Hakutsuru Draft Sake 300ML,https://www.cheers.com.np//liquor/product/hakutsuru-draft-sake-300ml,"Rs. 1,475",2024-02-28 01:16:32.175537
japanese-liquor,Hakutsuru Excellent Junmai Sake 720ML,https://www.cheers.com.np//liquor/product/hakutsuru-excellent-junmai-sake-720ml,"Rs. 3,180",2024-02-28 01:16:32.176572
japanese-liquor,Hakutsuru Josen Sake 1.8L,https://www.cheers.com.np//liquor/product/hakutsuru-josen-sake-1-8l,"Rs. 6,785",2024-02-28 01:16:32.177608
japanese-liquor,Hakutsuru Sayuri Nigori Sake 300ML,https://www.cheers.com.np//liquor/product/hakutsuru-sayuri-nigori-sake-300ml,"Rs. 1,970",2024-02-28 01:16:32.178123
japanese-liquor,Ozeki Hana Awaka Sparkling Sake 250ML,https://www.cheers.com.np//liquor/product/ozeki-hana-awaka-sparkling-sake-250ml,"Rs. 1,235",2024-02-28 01:16:32.179206
japanese-liquor,Takara Yokaichi Imo Shochu 1.8L,https://www.cheers.com.np//liquor/product/takara-yokaichi-imo-shochu-1-8l,"Rs. 12,735",2024-02-28 01:16:32.180244
japanese-liquor,Takara Yokaichi Imo Shochu 720ML,https://www.cheers.com.np//liquor/product/takara-yokaichi-imo-shochu-720ml,"Rs. 5,460",2024-02-28 01:16:32.180764
japanese-liquor,Takara Yokaichi Mugi Shochu 1.8L,https://www.cheers.com.np//liquor/product/takara-yokaichi-mugi-shochu-1-8l,"Rs. 12,735",2024-02-28 01:16:32.181797
glass,Luminarc Whisky Glass Imperator 300ML - N1287,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-imperator-300ml-n1287,Rs. 190,2024-02-28 01:16:34.635216
glass,Luminarc Shot Glass 50ML - 16166,https://www.cheers.com.np//liquor/product/luminarc-shot-glass-50ml-16166,Rs. 70,2024-02-28 01:16:34.636254
glass,Luminarc Beer Mug Haworth 600ML - C5968,https://www.cheers.com.np//liquor/product/luminarc-beer-mug-haworth-600ml-c5968,Rs. 170,2024-02-28 01:16:34.637290
glass,Luminarc Wine Glass Elegance 190ML - 12055,https://www.cheers.com.np//liquor/product/luminarc-wine-glass-elegance-190ml-12055,Rs. 225,2024-02-28 01:16:34.638330
glass,Arcoroc Beer Glass Brasserie 600ML - L0484,https://www.cheers.com.np//liquor/product/arcoroc-beer-glass-brasserie-600ml-l0484,Rs. 340,2024-02-28 01:16:34.638850
glass,Arcoroc Shot Glass 30ML - P2180,https://www.cheers.com.np//liquor/product/arcoroc-shot-glass-30ml-p2180,Rs. 60,2024-02-28 01:16:34.639890
glass,Arcoroc Wine Glass Regal 330ML - D0693,https://www.cheers.com.np//liquor/product/arcoroc-wine-glass-regal-330ml-d0693,Rs. 260,2024-02-28 01:16:34.640929
glass,Arcoroc Wine Glass Senso 350ML - G3805,https://www.cheers.com.np//liquor/product/arcoroc-wine-glass-senso-350ml-g3805,Rs. 260,2024-02-28 01:16:34.641451
glass,Eclat Whisky Glass Longchamp 320ML - L7555,https://www.cheers.com.np//liquor/product/eclat-whisky-glass-longchamp-320ml-l7555,Rs. 600,2024-02-28 01:16:34.642499
glass,Luminarc Whisky Glass Islande 300ML - N1314,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-islande-300ml-n1314,Rs. 140,2024-02-28 01:16:34.643537
glass,Luminarc Whisky Glass Octime 300ML - D6238,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-octime-300ml-d6238,Rs. 150,2024-02-28 01:16:34.644560
glass,Luminarc Whisky Glass Sterling 200ML - G2516,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-sterling-200ml-g2516,Rs. 130,2024-02-28 01:16:34.645092
glass,Luminarc Wine Cognac Glass Degustation 130ML - 12160,https://www.cheers.com.np//liquor/product/luminarc-wine-cognac-glass-degustation-130ml-12160,Rs. 200,2024-02-28 01:16:34.648643
glass,Luminarc Wine Cognac Glass Degustation 250ML - 12148,https://www.cheers.com.np//liquor/product/luminarc-wine-cognac-glass-degustation-250ml-12148,Rs. 240,2024-02-28 01:16:34.649654
glass,Luminarc Wine Cognac Glass Degustation 410ML - H5704,https://www.cheers.com.np//liquor/product/luminarc-wine-cognac-glass-degustation-410ml-h5704,Rs. 260,2024-02-28 01:16:34.650655
glass,Luminarc Wine Glass Elegance 250ML - 13735,https://www.cheers.com.np//liquor/product/luminarc-wine-glass-elegance-250ml-13735,Rs. 230,2024-02-28 01:16:34.651654
glass,Luminarc Wine Glass So Wine 470ML - E5980,https://www.cheers.com.np//liquor/product/luminarc-wine-glass-so-wine-470ml-e5980,Rs. 350,2024-02-28 01:16:34.651654
beverages,Belizi Organic Beans Coffee 450G,https://www.cheers.com.np//grocery/product/belizi-organic-beans-coffee-450g,"Rs. 1,260",2024-02-28 01:16:38.187225
beverages,San Pellegrino Sparkling Mineral Water 750ML,https://www.cheers.com.np//grocery/product/san-pellegrino-sparkling-mineral-water-750ml,Rs. 550,2024-02-28 01:16:38.188780
beverages,Katmandu Cream Caramel Iced Espresso 200ML,https://www.cheers.com.np//grocery/product/katmandu-cream-caramel-iced-espresso-200ml,Rs. 475,2024-02-28 01:16:38.189827
beverages,OKF Watermelon With Aloe Drink 340ML,https://www.cheers.com.np//grocery/product/okf-watermelon-with-aloe-drink-340ml,Rs. 150,2024-02-28 01:16:38.190893
beverages,Storia Strawberry Shake 180ML,https://www.cheers.com.np//grocery/product/storia-strawberry-shake-180ml,Rs. 120,2024-02-28 01:16:38.191919
beverages,Sabarat Agro Elai (Cardamom) Tea 300ML,https://www.cheers.com.np//grocery/product/sabarat-agro-elai-cardamom-tea-300ml,Rs. 80,2024-02-28 01:16:38.192935
beverages,Only Earth Almond Unsweetened Non Dairy Milk 1L,https://www.cheers.com.np//grocery/product/only-earth-almond-unsweetened-non-dairy-milk-1l,Rs. 800,2024-02-28 01:16:38.199192
beverages,Khao Shong Iced Black Coffee 400G (40G x 10's),https://www.cheers.com.np//grocery/product/khao-shong-iced-black-coffee-400g-40g-x-10s,Rs. 677,2024-02-28 01:16:38.200232
beverages,Rasna FruitPlus Lemon 1KG,https://www.cheers.com.np//grocery/product/rasna-fruitplus-lemon-1kg,Rs. 575,2024-02-28 01:16:38.201267
beverages,Nestea Lemon Iced Tea 400G,https://www.cheers.com.np//grocery/product/nestea-lemon-iced-tea-400g,Rs. 321,2024-02-28 01:16:38.202312
beverages,Kara UHT Coconut Milk Classic 1L,https://www.cheers.com.np//grocery/product/kara-uht-coconut-milk-classic-1l,Rs. 810,2024-02-28 01:16:38.203350
